"","Cov.Eff.Dist","Cov.Val.Dist","Structure"
"1","Dist1","Dist1","Random"
"2","Dist1","Dist2","Gleasonian"
"3","Dist1","Dist3","Random"
"4","Dist1","Dist4","Clementsian"
"5","Dist1","Dist5","Random"
"6","Dist1","Dist6","Gleasonian"
"7","Dist1","Dist7","Random"
"8","Dist1","Dist8","Nested"
"9","Dist2","Dist1","Clementsian"
"10","Dist2","Dist2","Clementsian"
"11","Dist2","Dist3","Quasi-Nested"
"12","Dist2","Dist4","Nested"
"13","Dist2","Dist5","Random"
"14","Dist2","Dist6","Gleasonian"
"15","Dist2","Dist7","Quasi-Nested"
"16","Dist2","Dist8","Nested"
"17","Dist3","Dist1","Random"
"18","Dist3","Dist2","Clementsian"
"19","Dist3","Dist3","Clementsian"
"20","Dist3","Dist4","Quasi-Nested"
"21","Dist3","Dist5","Random"
"22","Dist3","Dist6","Gleasonian"
"23","Dist3","Dist7","Quasi-Nested"
"24","Dist3","Dist8","Quasi-Nested"
"25","Dist4","Dist1","Gleasonian"
"26","Dist4","Dist2","Clementsian"
"27","Dist4","Dist3","Quasi-Nested"
"28","Dist4","Dist4","Quasi-Nested"
"29","Dist4","Dist5","Random"
"30","Dist4","Dist6","Clementsian"
"31","Dist4","Dist7","Nested"
"32","Dist4","Dist8","Nested"
"33","Dist1","Dist1","Random"
"34","Dist1","Dist2","Gleasonian"
"35","Dist1","Dist3","Quasi-Nested"
"36","Dist1","Dist4","Random"
"37","Dist1","Dist5","Random"
"38","Dist1","Dist6","Clementsian"
"39","Dist1","Dist7","Quasi-Nested"
"40","Dist1","Dist8","Quasi-Clementsian"
"41","Dist2","Dist1","Quasi-Clementsian"
"42","Dist2","Dist2","Clementsian"
"43","Dist2","Dist3","Nested"
"44","Dist2","Dist4","Quasi-Nested"
"45","Dist2","Dist5","Random"
"46","Dist2","Dist6","Gleasonian"
"47","Dist2","Dist7","Quasi-Nested"
"48","Dist2","Dist8","Quasi-Nested"
"49","Dist3","Dist1","Random"
"50","Dist3","Dist2","Gleasonian"
"51","Dist3","Dist3","Quasi-Nested"
"52","Dist3","Dist4","Quasi-Clementsian"
"53","Dist3","Dist5","Random"
"54","Dist3","Dist6","Gleasonian"
"55","Dist3","Dist7","Quasi-Nested"
"56","Dist3","Dist8","Quasi-Clementsian"
"57","Dist4","Dist1","Gleasonian"
"58","Dist4","Dist2","Clementsian"
"59","Dist4","Dist3","Nested"
"60","Dist4","Dist4","Quasi-Nested"
"61","Dist4","Dist5","Clementsian"
"62","Dist4","Dist6","Clementsian"
"63","Dist4","Dist7","Quasi-Clementsian"
"64","Dist4","Dist8","Quasi-Nested"
"65","Dist1","Dist1","Random"
"66","Dist1","Dist2","Clementsian"
"67","Dist1","Dist3","Random"
"68","Dist1","Dist4","Quasi-Nested"
"69","Dist1","Dist5","Random"
"70","Dist1","Dist6","Clementsian"
"71","Dist1","Dist7","Random"
"72","Dist1","Dist8","Quasi-Nested"
"73","Dist2","Dist1","Clementsian"
"74","Dist2","Dist2","Clementsian"
"75","Dist2","Dist3","Nested"
"76","Dist2","Dist4","Random"
"77","Dist2","Dist5","Random"
"78","Dist2","Dist6","Clementsian"
"79","Dist2","Dist7","Quasi-Nested"
"80","Dist2","Dist8","Quasi-Nested"
"81","Dist3","Dist1","Random"
"82","Dist3","Dist2","Clementsian"
"83","Dist3","Dist3","Random"
"84","Dist3","Dist4","Quasi-Clementsian"
"85","Dist3","Dist5","Random"
"86","Dist3","Dist6","Gleasonian"
"87","Dist3","Dist7","Random"
"88","Dist3","Dist8","Nested"
"89","Dist4","Dist1","Clementsian"
"90","Dist4","Dist2","Clementsian"
"91","Dist4","Dist3","Nested"
"92","Dist4","Dist4","Quasi-Nested"
"93","Dist4","Dist5","Random"
"94","Dist4","Dist6","Clementsian"
"95","Dist4","Dist7","Nested"
"96","Dist4","Dist8","Quasi-Nested"
"97","Dist1","Dist1","Random"
"98","Dist1","Dist2","Gleasonian"
"99","Dist1","Dist3","Random"
"100","Dist1","Dist4","Quasi-Nested"
"101","Dist1","Dist5","Random"
"102","Dist1","Dist6","Clementsian"
"103","Dist1","Dist7","Random"
"104","Dist1","Dist8","Quasi-Nested"
"105","Dist2","Dist1","Random"
"106","Dist2","Dist2","Clementsian"
"107","Dist2","Dist3","Quasi-Nested"
"108","Dist2","Dist4","Quasi-Clementsian"
"109","Dist2","Dist5","Random"
"110","Dist2","Dist6","Gleasonian"
"111","Dist2","Dist7","Quasi-Nested"
"112","Dist2","Dist8","Nested"
"113","Dist3","Dist1","Random"
"114","Dist3","Dist2","Clementsian"
"115","Dist3","Dist3","Quasi-Clementsian"
"116","Dist3","Dist4","Random"
"117","Dist3","Dist5","Random"
"118","Dist3","Dist6","Clementsian"
"119","Dist3","Dist7","Quasi-Clementsian"
"120","Dist3","Dist8","Nested"
"121","Dist4","Dist1","Gleasonian"
"122","Dist4","Dist2","Clementsian"
